model,scenario,region,variable,unit,2025,2030,2035,2040,2045,2050
Aladin v1,ExPol,Deutschland,Capital Cost|Annualized|Energy Demand|Transportation|LDV,billion EUR2020/yr,87.2833908076765,95.5782937956072,100.239822349731,102.877838733102,101.930151337328,102.60302282769
Aladin v1,ExPol,Deutschland,Capital Cost|Annualized|Energy Demand|Transportation|Rail and Bus,billion EUR2020/yr,5.65248618165543,6.57509840454389,7.38443737728513,7.54171150844222,7.49899444701853,7.30512037633395
Aladin v1,ExPol,Deutschland,Capital Cost|Annualized|Energy Demand|Transportation|Truck,billion EUR2020/yr,26.5243007713004,33.6377598170561,37.6391678249708,39.7793096341209,40.0676731134686,41.8324406902406
Aladin v1,ExPol,Deutschland,Capital Cost|Annualized|Infrastructure|Transportation|Charge and Fuel|LDV and Truck,billion EUR2020/yr,0.521949307353185,2.09595891892602,4.34368165489411,6.41691553251642,7.48058520683903,7.96459403615003
Aladin v1,ExPol,Deutschland,Capital Cost|Annualized|Infrastructure|Transportation|Charge and Fuel|Rail and Bus,billion EUR2020/yr,0.250077575488863,0.361142627013753,0.456716087783075,0.5177501621829921,0.5781534589989851,0.605140201114444
Aladin v1,ExPol,Deutschland,Capital Cost|Annualized|Transportation,billion EUR2020/yr,120.2322046434744,138.248253563147,150.0638252946641,157.1335255703645,157.5555575636532,160.310318131529
Aladin v1,ExPol,Deutschland,Emissions|CO2|Energy|Demand|Bunkers,Mt CO2/yr,43.7631287963457,44.7759401134497,39.0989869310399,33.0026071781125,25.6428364536687,13.3659321434633
Aladin v1,ExPol,Deutschland,Emissions|CO2|Energy|Demand|Bunkers|Aviation,Mt CO2/yr,31.5537018256454,32.6797885617942,28.5602880813072,24.2483705522989,18.5852763477174,9.49458996
Aladin v1,ExPol,Deutschland,Emissions|CO2|Energy|Demand|Bunkers|Navigation,Mt CO2/yr,12.2094269707003,12.0961515516554,10.5386988497327,8.75423662581364,7.05756010595128,3.87134218346335
Aladin v1,ExPol,Deutschland,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,128.980805733932,89.5544432731005,42.6533024172335,13.8070203014359,4.13146618470533,1.35767676600845
Aladin v1,ExPol,Deutschland,Emissions|CO2|Energy|Demand|Transportation|Bus,Mt CO2/yr,2.19556460468517,1.44633689352337,0.8793578786990831,0.420835755180489,0.0,0.0
Aladin v1,ExPol,Deutschland,Emissions|CO2|Energy|Demand|Transportation|Domestic Aviation,Mt CO2/yr,2.39116877346544,2.36524404548571,2.0083750439434,1.66041989124553,1.22471969199484,0.597920933358115
Aladin v1,ExPol,Deutschland,Emissions|CO2|Energy|Demand|Transportation|Domestic Navigation,Mt CO2/yr,1.06235822033162,1.05506812958399,0.86657914476,0.690118087428,0.554109331545,0.2969928234
Aladin v1,ExPol,Deutschland,Emissions|CO2|Energy|Demand|Transportation|LDV,Mt CO2/yr,80.5772765707225,53.7673498011095,24.8236755137007,7.40874429915536,1.64039879681933,0.207031210325843
